,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,11.80,399.92,523.00,343.47,436.45,5.13,71.15,3.93,92.87,3.19,0.67,3.86,4.47,7.00,5.75,0.65,-16.43,49.07,-2.43
2016,15.87,423.22,357.33,238.63,112.75,5.05,72.27,3.86,94.55,2.98,0.61,1.81,2.11,3.27,2.95,0.30,1.01,46.03,-1.10
2015,13.44,411.33,432.23,305.60,81.54,5.30,68.86,3.77,96.81,2.81,0.59,0.75,0.84,1.42,1.25,0.13,53.77,52.49,1.71
2014,10.84,425.12,1056.99,675.58,211.67,5.55,65.76,4.07,89.68,3.20,0.67,4.62,5.29,8.46,6.85,0.77,49.12,72.93,-1.64
2013,15.97,405.85,908.17,622.65,17.56,5.16,70.73,4.47,81.65,3.27,0.77,0.80,0.88,1.10,1.01,0.16,75.78,178.90,2.12
2012,10.89,391.40,481.09,315.96,210.85,7.24,50.41,4.75,76.84,3.80,0.91,1.29,1.46,4.84,1.41,0.22,53.44,91.63,3.00
2011,12.38,346.91,422.24,246.63,390.40,8.19,44.56,5.37,67.97,4.06,0.97,2.66,3.02,4.77,2.75,0.48,5.72,102.41,-2.14
2010,12.18,392.84,427.66,294.86,1350.34,6.94,52.59,5.35,68.22,4.23,0.93,6.14,7.17,8.47,6.56,1.14,50.78,85.86,2.58
2009,16.65,381.25,329.15,223.57,694.62,6.79,53.75,4.88,74.79,4.14,1.00,4.37,5.01,5.86,4.38,0.75,78.35,92.3,9.36
2008,8.44,342.69,654.48,371.25,140.15,7.78,46.91,4.62,79.00,4.68,1.07,1.17,1.33,7.79,1.08,0.21,-12.73,67.79,-8.49
2007,16.45,416.95,331.87,195.74,386.16,7.40,49.32,4.55,80.21,5.04,1.10,11.92,14.38,9.36,10.79,2.38,72.44,117.36,5.08
2006,18.35,340.46,321.12,181.87,641.34,7.54,48.40,4.95,73.73,4.63,1.20,10.94,13.28,13.21,9.09,1.93,-12.73,94.22,-5.67
2005,17.10,294.69,320.31,201.07,272.30,7.25,50.34,4.91,74.33,3.58,1.06,8.04,9.96,13.89,7.78,1.34,55.52,131.83,5.52
2004,22.02,252.13,230.09,143.06,31.03,6.33,57.66,5.20,70.19,2.74,0.90,5.18,6.40,11.76,5.61,0.82,48.56,98.40,6.58
2003,21.10,240.12,248.41,176.25,1108.00,4.75,76.84,5.24,69.65,1.99,0.70,4.59,5.52,4.57,6.00,0.71,92.03,88.24,9.56
2002,25.33,231.12,271.69,187.53,291.00,5.21,70.05,5.38,67.84,1.48,0.61,5.74,6.94,5.18,8.56,0.86,24.83,33.70,3.54
2001,23.14,213.09,329.83,222.95,-594.00,3.81,95.80,4.47,81.65,1.03,0.44,-1.80,-2.71,-3.83,-4.94,-0.33,123.11,32.72,6.49
2000,22.01,244.02,389.38,274.78,1999.00,3.90,93.58,4.73,77.16,1.38,0.54,9.06,10.92,3.28,16.21,1.40,-3.01,13.52,-2.77
1999,18.56,212.36,273.50,186.98,4361.00,4.82,75.72,5.22,69.92,1.47,0.60,4.08,4.58,2.28,6.64,0.60,-8.52,31.86,-2.76
1998,5.91,232.62,628.78,429.23,8393.00,6.75,54.07,4.79,76.20,1.64,0.63,9.95,10.69,6.16,15.67,1.45,-7.91,47.71,-0.41
1997,9.72,249.09,459.50,335.03,9598.00,10.43,35.00,4.02,90.80,1.74,0.73,11.55,12.82,17.77,15.61,1.82,133.68,69.89,11.87
1996,12.23,173.91,277.95,124.45,8271.00,7.23,50.48,3.86,94.56,1.70,0.86,12.15,14.29,24.00,13.88,2.05,187.14,57.67,18.50
1995,19.72,157.29,219.10,125.54,2180.00,6.55,55.73,5.08,71.85,1.60,0.88,8.57,10.06,14.82,9.37,1.43,-11.94,34.68,-2.36
1994,16.43,138.46,199.52,123.73,846.00,8.47,43.09,7.26,50.28,1.53,0.94,6.15,7.85,12.01,5.90,1.18,46.78,53.91,7.85
1993,43.60,114.80,120.48,82.18,1502.00,8.57,42.59,6.68,54.64,1.71,1.03,10.51,17.87,28.70,9.58,2.48,24.31,43.71,8.43
1992,46.03,130.74,157.77,88.88,877.00,10.99,33.21,6.48,56.33,2.01,1.35,13.29,20.52,36.55,8.73,2.54,57.35,46.00,15.76
