,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,47.88,3834.0,193.17,167.72,110.62,113.79,3.2,1.28,285.15,18.71,0.45,35.26,64.83,335.95,77.46,15.15,-3.84,0.0,0.31
2016-01-01,43.69,3001.35,136.78,62.18,35.29,28.78,12.68,1.26,289.68,4.71,0.15,15.96,27.1,95.49,104.81,8.4,-7.82,0.0,1.97
2015-01-01,41.32,2575.56,86.36,27.91,27.07,25.03,14.58,1.89,193.12,3.32,0.15,15.06,22.78,80.54,94.43,8.57,-38.35,0.0,5.75
2014-01-01,12.59,3726.38,216.21,156.91,35.94,23.42,15.58,3.17,115.14,2.66,0.07,6.98,7.79,90.39,93.04,8.0,-10.79,-9.21,3.37
2013-01-01,12.34,3133.86,112.48,84.13,437.29,192.43,1.89,3.4,107.35,13.09,0.24,0.96,116.54,840.11,103.14,54.85,0.0,22.91,-2.37
2012-01-01,39.19,1210.68,57.26,38.93,16.7,10.02,36.42,2.6,140.38,2.16,0.14,10.49,16.53,0.35,68.56,4.2,18.27,25.3,1.42
2011-01-01,40.41,1113.22,104.5,60.45,14.02,10.92,33.42,2.47,147.77,1.88,0.15,10.15,16.91,1.26,50.27,3.43,36.9,22.33,1.04
2010-01-01,48.74,484.34,108.36,76.95,19.34,12.9,28.29,2.77,131.76,1.71,0.26,6.56,12.01,1.73,23.39,1.58,22.71,47.43,-0.21
2009-01-01,46.15,381.03,92.71,61.74,5.47,14.78,24.69,2.13,171.36,1.52,0.28,3.27,5.53,-1.98,9.71,0.66,17.11,40.15,4.74
2008-01-01,53.57,317.44,78.93,39.82,2.86,16.69,21.86,2.44,149.59,1.6,0.33,3.07,4.29,-2.15,6.33,0.49,5.22,43.94,-3.49
2007-01-01,45.33,285.82,82.94,37.82,9.01,16.57,22.02,2.98,122.48,1.41,0.35,7.42,12.18,-2.13,19.53,1.5,18.85,96.6,-0.57
2006-01-01,44.78,274.88,113.51,64.48,5.81,16.87,21.63,3.0,121.66,1.49,0.32,6.23,10.57,-3.23,16.58,1.24,12.49,125.05,0.88
2005-01-01,53.51,227.22,78.27,36.58,3.09,12.4,29.43,3.25,112.3,1.23,0.37,3.47,5.47,-0.81,6.83,0.57,2.58,106.28,0.81
2004-01-01,53.54,206.02,76.96,36.62,1.66,14.28,25.56,3.56,102.52,1.3,0.45,1.94,1.83,4.31,1.87,0.19,17.89,62.21,4.64
2003-01-01,58.76,170.34,55.32,28.46,2.88,10.52,34.69,3.35,108.95,1.58,0.53,5.77,10.92,2.1,7.85,1.03,29.2,12.54,15.95
2002-01-01,67.56,177.09,67.21,24.49,0.52,11.85,30.8,4.23,86.28,1.36,0.47,0.67,-4.31,1.9,-3.5,-0.44,0.51,1.17,0.25
2001-01-01,61.98,233.21,68.41,29.12,2.06,13.11,27.84,3.62,100.82,1.57,0.44,5.94,9.9,2.4,8.01,0.92,4.61,7.24,2.01
2000-01-01,68.8,223.41,76.5,29.13,0.37,11.47,31.82,2.88,126.73,1.66,0.45,0.85,-5.21,14.48,-3.83,-0.47,-7.49,6.22,-3.95
1999-01-01,63.1,238.56,99.83,27.6,-376.25,10.82,33.73,3.0,121.66,1.57,0.48,-9.38,-28.89,1.65,-24.94,-3.11,-9.59,9.54,-4.87
1998-01-01,54.5,212.41,77.1,37.09,134.08,11.53,31.66,2.93,124.57,1.42,0.44,3.64,1.94,10.23,2.14,0.26,13.42,14.89,5.5
1997-01-01,43.0,249.75,123.36,54.46,489.16,10.45,34.93,2.72,134.19,1.26,0.41,9.0,14.25,6.48,18.58,2.11,22.82,8.24,6.48
1996-01-01,50.13,207.63,74.51,26.33,441.46,7.74,47.16,3.08,118.51,1.0,0.31,0.1,0.17,2.63,26.03,2.38,6.46,4.8,2.21
1995-01-01,52.51,197.52,87.39,42.4,130.01,7.75,47.1,3.12,117.0,1.28,0.37,3.51,3.51,7.06,4.44,0.42,0.0,0.24,3.06
1994-01-01,55.31,210.71,98.07,34.51,312.2,10.05,36.32,3.58,101.96,1.32,0.38,8.48,13.18,6.07,15.34,1.61,-0.25,-23.5,-0.14
1993-01-01,57.35,210.16,99.24,34.21,74.59,11.71,31.17,3.26,111.96,1.24,0.37,2.16,-1.6,0.55,-1.99,-0.18,-9.07,-19.6,-4.79
1992-01-01,50.35,224.22,122.11,29.9,143.4,13.31,27.42,2.62,139.31,0.97,0.31,3.96,2.35,-4.54,3.78,0.27,0.74,-13.61,0.25
