,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,47.45,330885.22,251.03,32.00,-1.89,803.09,0.45,0.04,9125.00,246.61,0.05,-0.52,-1.25,-1.71,-14.63,-0.17,0.00,55.56,0.00
2016,35.74,322580.15,416.81,58.88,69.35,48.36,7.54,0.14,2607.14,873.58,0.21,5.51,8.73,12.48,26.44,1.25,0.00,47.17,0.00
2015,39.62,323128.98,251.61,33.96,25.81,17.73,20.58,0.23,1586.95,1724.44,0.32,10.41,17.97,25.15,31.08,2.52,49.39,44.04,30.44
2014,40.93,219404.59,239.06,39.40,15.01,6.71,54.39,0.15,2433.33,606.55,0.16,4.78,9.10,11.71,26.12,1.15,0.00,7.14,0.00
2013,61.13,298661.88,176.77,51.71,17.82,23.72,15.38,0.36,1013.88,2465.81,0.39,10.32,30.40,34.29,24.14,3.50,11.02,24.34,12.67
2012,75.48,151219.92,149.92,17.42,11.65,24.10,15.14,0.15,2433.33,887.51,0.14,4.33,14.94,15.53,21.40,1.57,0.00,0.00,0.00
2011,68.59,80240.37,172.42,34.38,9.03,67.88,5.37,0.17,2147.05,541.15,0.20,6.15,17.08,15.33,24.20,1.40,0.00,15.76,0.00
2010,65.77,48437.19,150.83,22.69,2.34,601.14,0.60,0.12,3041.66,136.41,0.10,0.95,1.44,1.37,4.51,0.10,0.00,18.81,0.00
2009,46.16,32607.00,214.01,36.38,5.34,11907.51,0.03,0.58,629.31,494.27,0.60,3.13,6.15,4.00,4.47,0.39,82.40,-14.63,70.09
2008,64.79,40972.32,152.88,5.52,-11.66,3.75,97.33,0.07,5214.28,52.36,0.07,-1.33,-3.35,-2.41,-19.59,-0.21,-100.45,-47.55,-183.58
2007,39.19,21947.09,249.41,215.16,-110.46,2.48,147.17,1.83,199.45,30.70,0.12,-7.06,-9.80,-13.65,-58.68,-0.63,-167.06,184.92,-106.27
2006,6.92,15482.21,1428.72,1139.97,-12.41,7.92,46.08,2.97,122.89,0.32,0.14,-27.40,-50.67,-37.07,-209.87,-3.88,21.46,2553.14,28.48
2005,67.71,80.03,71.59,16.76,-9.00,5.52,66.12,0.31,1177.41,0.44,0.15,-30.86,-116.98,-11.36,-233.88,-6.81,347.32,265163.63,240.02
2004,71.67,155.67,123.67,7.75,0.00,1.30,280.76,0.15,2433.33,0.30,0.08,-0.40,-10.55,-9.80,-38.00,-0.58,-0.16,616.89,-0.24
2003,74.14,122.76,111.00,15.00,-3.98,2.00,182.50,0.25,1460.00,0.50,0.14,-13.11,-54.25,-8.00,-139.00,-2.52,16.07,716.42,25.98
2002,66.50,209.71,127.26,19.02,-2.00,5.80,62.93,0.40,912.50,1.20,0.22,-10.26,-36.34,-13.89,-59.46,-2.61,18.02,66.31,22.56
2001,61.68,282.62,137.88,15.02,-278.28,2.34,155.98,0.34,1073.52,1.46,0.19,-11.07,-37.41,-8.97,-72.34,-1.94,50.35,62.16,53.69
2000,64.01,408.30,145.04,30.99,20.74,3.32,109.93,0.26,1403.84,2.51,0.21,-0.15,-7.66,-2.05,-12.86,-0.49,8.31,76.06,10.27
1999,66.97,454.94,141.21,14.43,0.00,8.55,42.69,0.29,1258.62,2.21,0.21,-0.11,-0.42,-16.94,-86.63,-3.56,16.13,59.05,21.61
1998,67.97,665.84,142.02,32.90,,0.38,960.53,0.12,3041.67,0.83,0.06,-2.76,-13.79,-9.72,-85.58,-1.51,6.81,40.20,8.45
1997,65.62,1073.43,161.97,90.18,172.81,2.77,131.77,0.60,608.33,8.96,0.38,2.85,4.76,12.13,3.91,0.60,9.72,0.00,9.06
1996,67.42,1052.65,140.21,9.67,209.13,48.91,7.46,0.50,730.00,15.09,0.49,3.51,7.49,17.49,4.56,1.04,32.71,-90000.0,59.03
1995,76.27,197.40,124.77,3.59,0.65,65.75,5.55,0.18,2027.77,1.06,0.19,3.11,11.27,18.25,13.07,1.53,-90000.00,-90000.0,-90000.0
1994,75.67,2548.00,128.33,2.03,,11.74,31.09,0.18,2027.77,22.22,0.21,2.78,11.40,15.35,12.55,1.56,-90000.00,-90000.0,-90000.0
