,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,92.28,,,,,,,,,0.46,0.03,1.02,6.64,29.43,16.75,0.70,2.22,455.18,-44.57
2016,92.23,,,,,,,,,0.38,0.03,0.91,4.84,21.10,14.07,-0.18,4.54,394.12,98.48
2015,91.66,,,,,,,,,0.46,0.03,1.17,6.56,29.44,16.87,0.48,3.65,199.78,42.08
2014,91.54,,,,,,,,,5.55,0.04,1.40,9.24,33.65,20.05,0.96,1.87,128.52,15.70
2013,92.00,,,,,,,,,3.77,0.04,1.28,8.00,26.50,16.17,0.85,-0.54,81.87,-5.08
2012,41.14,214.92,87.22,59.22,345.00,6.52,55.98,8.58,42.54,1.71,0.53,1.96,2.38,-1.55,2.61,0.37,1.39,47.01,0.75
2011,37.64,252.17,99.24,59.61,754.00,7.12,51.26,9.63,37.90,2.15,0.61,3.75,5.13,6.15,5.22,0.77,8.32,82.10,3.26
2010,33.00,319.00,123.00,93.00,3610.00,7.43,49.12,15.42,23.67,2.54,0.60,11.00,17.00,10.00,18.00,2.46,29.00,133.00,8.00
2009,43.00,248.00,74.00,63.00,-413.00,5.98,61.03,15.56,23.45,1.72,0.41,-3.00,-6.00,-7.00,-8.00,-0.76,6.00,175.0,3.00
2008,41.93,258.68,89.00,74.51,-10.67,6.06,60.23,15.77,23.14,2.40,0.57,-5.97,-9.99,-0.48,-11.45,-1.47,14.50,200.1,0.88
2007,30.24,364.55,148.14,127.07,19.49,6.96,52.44,15.17,24.06,3.56,0.73,7.81,10.98,13.02,9.96,1.66,36.59,438.43,8.21
2006,33.53,315.68,138.69,97.15,-8.99,5.75,63.47,12.29,29.69,2.39,0.55,-4.08,-6.63,0.64,-7.98,-0.96,-3.57,349.69,0.00
2005,32.26,329.44,211.86,123.50,1.67,7.41,49.25,9.27,39.37,2.19,0.51,0.30,0.07,4.67,0.09,0.01,44.82,7.19,6.99
2004,28.53,232.27,201.03,144.30,35.64,9.43,38.70,10.85,33.64,1.68,0.54,14.10,22.15,22.25,22.94,3.07,52.73,2.66,8.29
2003,47.70,154.20,104.05,79.82,4.73,6.84,53.36,10.23,35.67,1.21,0.54,10.80,21.52,16.52,18.16,2.04,31.37,77.31,9.60
2002,60.40,152.84,78.37,49.19,-0.19,5.17,70.59,7.16,50.97,0.86,0.40,-1.01,-7.48,3.79,-7.28,-0.72,13.21,-8.69,3.83
2001,62.74,150.32,79.22,47.39,1.00,5.37,67.97,5.59,65.29,0.83,0.40,0.02,0.11,4.57,0.10,0.01,-5.13,16.63,-1.65
2000,65.76,142.15,73.30,34.63,0.70,4.39,83.14,2.98,122.48,0.59,0.29,-2.56,-6.74,0.90,-16.89,-1.18,3.62,15.25,1.13
1999,52.90,175.56,80.05,50.03,-0.85,7.09,51.48,2.39,152.72,0.55,0.23,-2.89,-7.21,-0.15,-20.53,-1.20,-4.78,-15.61,-1.42
1998,50.94,168.85,146.86,96.10,258.83,8.70,41.95,5.08,71.85,0.47,0.23,4.73,6.11,3.41,12.50,0.94,8.17,29.04,1.20
1997,46.32,160.99,174.94,153.22,312.60,6.75,54.07,2.84,128.52,0.31,0.16,4.70,6.20,-3.25,19.73,0.89,52.41,29.72,7.29
1996,41.71,228.98,193.71,145.36,100.00,6.65,54.89,2.19,166.67,0.59,0.21,2.97,2.76,3.48,7.66,0.38,25.50,33.69,4.34
1995,41.07,218.25,153.84,121.60,188.00,5.57,65.53,3.09,118.12,0.39,0.14,3.22,2.40,-4.01,10.05,0.36,0.55,22.52,0.12
1994,33.15,229.62,349.84,333.21,-0.57,5.42,67.34,6.75,54.07,0.32,0.12,-0.38,-1.51,-5.72,-7.03,-0.25,-19.66,100.20,-2.28
1993,27.70,170.67,1276.72,1106.03,-7.09,4.76,76.68,6.95,52.51,0.31,0.18,-3.71,-5.23,-10.34,-20.60,-0.74,-44.14,131.43,-1.18
