,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,50.28,126.47,104.61,29.65,7.29,21.06,17.33,3.15,115.87,0.75,0.47,3.49,6.17,14.83,6.39,1.09,34.27,117.60,3.60
2016,51.25,128.34,113.72,34.27,6.73,20.24,18.03,2.80,130.35,0.60,0.38,3.30,5.90,13.88,7.26,1.04,44.78,108.81,4.71
2015,52.70,121.19,100.57,35.28,3.53,20.25,18.02,2.93,124.57,0.56,0.37,1.57,2.53,6.02,2.95,0.49,36.96,72.35,3.51
2014,50.97,120.01,112.82,35.75,8.54,26.40,13.82,3.32,109.93,0.73,0.49,4.00,7.45,18.11,7.17,1.43,49.01,59.10,5.68
2013,53.17,118.24,109.92,33.18,8.77,25.69,14.20,3.33,109.60,0.72,0.50,3.19,5.65,15.01,5.68,1.05,40.22,50.61,5.30
2012,34.85,185.05,104.85,17.92,5.51,43.74,8.34,3.38,107.98,1.06,0.47,1.63,2.05,1.75,2.89,0.38,63.27,59.64,4.01
2011,31.60,192.27,176.40,22.50,27.36,55.92,6.52,3.76,97.07,1.25,0.55,5.00,7.03,9.67,8.31,1.36,20.52,59.89,-2.66
2010,30.45,183.43,140.60,21.23,67.82,65.05,5.61,5.14,71.01,1.33,0.61,10.52,14.75,26.57,16.02,2.83,100.51,75.55,5.99
2009,28.91,184.28,171.71,52.21,25.69,38.07,9.58,3.48,104.88,1.02,0.47,5.79,8.13,6.30,12.12,1.54,113.33,73.65,5.03
2008,32.87,192.13,154.92,32.85,63.56,56.19,6.49,4.14,88.16,1.67,0.70,7.65,10.42,34.78,9.64,1.91,49.33,75.63,-2.47
2007,21.02,208.00,226.36,98.00,109.18,51.17,7.13,4.23,86.28,1.75,0.72,18.88,24.05,42.23,25.26,4.49,150.08,104.22,4.60
2006,23.38,199.78,192.78,97.09,89.00,44.67,8.17,3.84,95.05,1.57,0.65,15.32,19.57,34.02,22.62,3.56,122.41,116.93,1.65
2005,21.59,188.88,168.15,75.72,89.67,50.02,7.29,3.76,97.07,1.76,0.74,20.93,26.60,57.75,27.18,4.83,109.28,119.43,2.45
2004,22.75,198.34,252.70,161.13,69.27,63.35,5.76,4.62,79.00,1.69,0.71,22.80,29.91,58.42,30.67,5.26,161.08,149.29,6.51
2003,27.02,173.55,200.99,143.71,33.55,72.88,5.00,4.82,75.72,1.26,0.59,18.27,24.98,43.07,28.51,3.94,128.79,148.33,8.40
2002,30.92,148.93,176.06,118.77,10.36,50.21,7.26,4.44,82.20,0.93,0.51,9.38,12.87,21.98,16.85,1.86,132.44,141.00,8.00
2001,36.00,146.00,181.00,109.00,400.00,42.38,8.61,3.91,93.35,0.76,0.43,5.00,6.00,8.00,9.00,0.82,52.00,133.00,0.03
2000,36.00,146.00,173.00,108.00,800.00,56.00,6.51,4.00,91.25,0.80,0.50,10.00,14.00,24.00,18.00,2.12,78.00,128.00,4.00
1999,38.00,133.00,162.00,108.00,600.00,37.00,9.86,4.00,91.25,0.70,0.40,9.00,12.00,17.00,17.00,1.76,107.00,97.00,3.00
1998,35.00,129.00,146.00,82.00,6.00,24.00,15.20,4.00,91.25,0.70,0.50,10.00,15.00,22.00,18.00,2.24,103.00,87.00,7.00
1997,43.00,109.00,95.00,60.00,11.00,23.00,15.87,4.00,91.25,0.60,0.40,8.00,12.00,23.00,15.00,1.82,47.00,79.00,5.00
1996,40.00,114.00,126.00,78.00,11.00,23.00,15.87,4.00,91.25,0.70,0.50,7.00,10.00,26.00,13.00,1.52,62.00,74.0,5.00
1995,32.00,120.00,140.00,95.00,6.00,25.73,14.19,3.73,97.86,1.00,47.00,4.00,5.00,21.00,7.38,0.77,29.00,93.0,1.0
1994,32.16,105.84,119.40,83.35,844.08,27.93,13.07,3.66,99.73,0.65,0.43,6.42,8.52,15.62,13.40,1.09,49.43,103.11,6.8
1993,34.86,101.83,105.39,77.35,443.31,15.01,24.32,3.04,120.07,0.57,0.38,4.45,5.22,10.83,9.04,0.74,44.75,100.23,5.9
1992,35.81,100.03,104.90,66.13,6.52,11.33,32.22,2.64,138.26,0.54,0.36,6.30,7.87,15.16,14.17,1.13,30.68,87.87,2.52
