,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,40.99,359.36,93.17,80.98,5.80,3.96,92.17,8.11,45.00,1.15,0.27,3.35,4.65,25.28,10.27,1.74,15.09,133.25,2.49
2016,41.01,335.89,103.16,86.22,4.95,3.85,94.80,7.35,49.65,0.97,0.24,2.38,3.17,19.27,7.68,1.26,31.37,126.91,4.43
2015,42.66,304.55,81.02,69.80,5.14,3.55,102.81,7.08,51.55,0.96,0.24,2.28,3.12,20.27,7.44,1.55,20.95,112.25,2.97
2014,42.82,308.60,108.57,94.08,9.23,4.13,88.37,7.70,47.40,1.17,0.28,4.51,6.93,40.81,14.04,2.98,16.38,89.91,2.14
2013,50.31,246.85,105.46,92.77,7.27,4.15,87.95,7.95,45.91,1.19,0.32,4.79,8.04,31.19,12.04,2.21,23.86,83.19,5.18
2012,31.32,800.62,114.62,95.35,10.72,9.68,37.70,6.28,58.12,0.87,0.10,5.50,7.29,0.78,53.03,1.93,57.36,85.25,-0.97
2011,29.92,888.84,429.57,349.01,17.61,8.81,41.43,6.76,53.99,0.84,0.09,9.02,12.14,-0.66,92.16,3.19,242.67,91.80,0.35
2010,28.57,1361.52,125.00,93.23,17.12,8.91,40.96,5.80,62.93,1.30,0.09,7.31,9.99,0.09,78.67,2.50,85.52,100.41,-0.89
2009,32.28,1251.82,100.91,85.26,17.94,9.07,40.24,4.42,82.57,1.35,0.09,7.95,11.27,3.68,76.34,2.64,44.68,121.87,0.12
2008,32.75,1099.12,174.06,130.33,13.84,8.88,41.10,4.41,82.76,1.36,0.11,8.01,10.67,4.23,67.20,2.52,134.19,139.43,0.28
2007,25.69,1212.89,113.97,73.28,28.58,9.96,36.64,4.91,74.33,1.51,0.11,11.65,15.30,7.04,90.87,3.69,94.20,165.27,0.77
2006,26.23,1007.50,152.38,98.90,27.90,9.08,40.19,5.09,71.70,1.51,0.14,9.90,13.13,10.17,64.46,2.85,175.26,203.92,2.95
2005,27.46,2980.48,126.49,92.46,27.89,8.53,42.79,5.41,67.46,5.25,0.16,10.35,13.91,8.84,61.60,2.82,133.21,195.75,4.69
2004,28.05,2609.92,179.39,139.84,20.20,7.29,50.06,5.74,63.58,4.97,0.17,11.05,15.12,7.37,61.87,2.97,95.61,185.06,3.91
2003,32.91,1920.64,163.88,136.73,8.86,2.98,122.48,5.43,67.21,3.67,0.16,6.33,8.85,5.04,34.70,1.63,20.65,143.10,0.17
2002,37.03,1581.36,135.99,108.59,3.40,2.82,129.43,6.93,52.66,3.75,0.20,2.88,3.40,3.52,10.43,0.57,32.50,156.47,2.36
2001,38.33,1352.49,122.57,98.85,1.61,2.43,150.20,6.20,58.87,3.03,0.19,1.38,0.90,0.80,3.03,0.15,2.47,142.20,
2000,34.85,1120.11,100.74,78.21,1.28,2.22,164.41,5.93,61.55,2.88,0.21,1.20,0.50,3.58,1.61,0.09,21.87,145.87,0.92
1999,34.34,825.06,133.07,107.28,6.77,2.22,164.41,6.13,59.54,2.21,0.22,7.15,9.70,7.43,27.50,1.83,26.25,148.92,2.08
1998,36.25,654.25,124.76,96.68,4.95,2.57,142.02,6.84,53.36,2.13,0.27,6.34,8.48,14.12,19.95,1.70,45.45,115.61,2.50
1997,37.06,566.69,112.23,91.08,8.55,3.15,115.87,7.82,46.67,2.00,0.29,8.97,12.61,17.34,26.15,2.63,39.33,113.73,3.26
1996,34.73,490.62,134.78,102.75,7.90,3.91,93.35,8.62,42.34,2.07,0.37,8.50,11.67,24.52,20.50,2.29,64.28,106.78,3.04
1995,36.06,440.76,116.28,90.44,7.73,3.78,96.56,9.53,38.30,1.95,0.37,10.17,14.59,23.90,24.33,2.73,76.63,97.37,5.18
1994,39.63,404.14,112.83,88.03,8.82,4.64,78.66,9.65,37.82,1.98,0.39,12.11,17.84,29.52,26.16,3.36,65.20,91.3,2.08
1993,37.59,356.89,96.66,70.03,7.70,6.18,59.06,9.63,37.90,1.97,0.48,11.64,16.58,35.13,21.58,3.07,80.55,106.60,6.3
1992,38.72,320.27,93.45,67.19,7.65,7.37,49.53,8.49,42.99,1.66,0.43,13.21,19.18,32.32,27.83,3.64,86.93,92.26,6.17
